%Infos : 
%Everything is in %.
%-1 : the person has no activity in the given category (ex : -1 for 'possible in' ==> the person does not have a 'possible in').
%The ID '0' corresponds to no one in particular (could be the patient or visitors).



      |                      SHA taken                        |            SHA not taken            |
      |_______________________________________________________|_____________________________________|
  ID  |           sure            |       possible            |                 sure                |
      |___________________________|___________________________|_____________________________________|
      |   in   |   out  |  inout  |   in   |   out  |  inout  |     in     |     out    |   inout   |
  940 |  50.00 |  58.33 |   0.00  | 100.00 |  -1.00 |  -1.00  |    50.00   |    41.67   |   100.00  |
  945 |  13.86 |  26.89 |  17.51  | 100.00 | 100.00 | 100.00  |    86.14   |    73.11   |    82.49  |
  953 |  44.44 |  66.67 |  50.00  |  -1.00 |  -1.00 |  -1.00  |    55.56   |    33.33   |    50.00  |
  954 |  58.62 |  58.21 |  83.72  | 100.00 | 100.00 | 100.00  |    41.38   |    41.79   |    16.28  |
  955 |  56.14 |  51.92 |  87.50  | 100.00 | 100.00 | 100.00  |    43.86   |    48.08   |    12.50  |
  956 |  54.05 |  70.00 |  86.11  | 100.00 | 100.00 | 100.00  |    45.95   |    30.00   |    13.89  |
  957 |  44.14 |  54.29 |  54.55  | 100.00 | 100.00 |  -1.00  |    55.86   |    45.71   |    45.45  |
  958 |  75.00 |  75.00 | 100.00  |  -1.00 |  -1.00 |  -1.00  |    25.00   |    25.00   |     0.00  |
 2379 |  62.47 |  56.47 |  73.58  | 100.00 | 100.00 | 100.00  |    37.53   |    43.53   |    26.42  |
 4341 |   0.00 |   0.00 |   0.00  |  -1.00 |  -1.00 |  -1.00  |   100.00   |   100.00   |   100.00  |
16384 |   8.82 |  20.00 |  12.50  |  -1.00 | 100.00 |  -1.00  |    91.18   |    80.00   |    87.50  |
16640 |  -1.00 |  -1.00 |   0.00  |  -1.00 |  -1.00 |  -1.00  |    -1.00   |    -1.00   |   100.00  |
16896 |  -1.00 |  -1.00 |   0.00  |  -1.00 |  -1.00 |  -1.00  |    -1.00   |    -1.00   |   100.00  |
20480 |  -1.00 |  -1.00 |   0.00  |  -1.00 |  -1.00 |  -1.00  |    -1.00   |    -1.00   |   100.00  |
30004 |  59.90 |  55.39 |  71.80  | 100.00 | 100.00 | 100.00  |    40.10   |    44.61   |    28.20  |
