"ID";"total activity in";"total activity out";"total activity inout";"SHA in percent";"SHA in number";"SHA out percent";"SHA out number";"SHA inout percent";"SHA inout number";"SHA not taken in percent";"SHA not taken in number";"SHA not taken out percent";"SHA not taken out number";"SHA not taken inout percent";"SHA not taken inout number";"IN_NO_ALARM percent";"IN_NO_ALARM number";"IN_AFTER_ALARM percent";"IN_AFTER_ALARM number";"IN_DURING_ALARM percent";"IN_DURING_ALARM number";"NOT_IN_NO_ALARM percent";"NOT_IN_NO_ALARM number";"NOT_IN_ALARM percent";"NOT_IN_ALARM number";"OUT_NO_ALARM percent";"OUT_NO_ALARM number";"OUT_AFTER_ALARM percent";"OUT_AFTER_ALARM number";"OUT_DURING_ALARM percent";"OUT_DURING_ALARM number";"NOT_OUT_NO_ALARM percent";"NOT_OUT_NO_ALARM number";"NOT_OUT_ALARM percent";"NOT_OUT_ALARM number";"INOUT_NO_ALARM percent";"INOUT_NO_ALARM number";"INOUT_AFTER_ALARM percent";"INOUT_AFTER_ALARM number";"INOUT_DURING_ALARM percent";"INOUT_DURING_ALARM number";"NOT_INOUT_NO_ALARM percent";"NOT_INOUT_NO_ALARM number";"NOT_INOUT_ALARM percent";"NOT_INOUT_ALARM number";"ABANDON_IN percent";"ABANDON_IN number";"ABANDON_OUT percent";"ABANDON_OUT number";"ABANDON_INOUT percent";"ABANDON_INOUT number";"IMPOSSIBLE percent";"IMPOSSIBLE number";
"698";"3";"3";"1";"0.00";"0";"33.33";"1";"0.00";"0";"100.00";"3";"66.67";"2";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"66.67";"2";"33.33";"1";"33.33";"1";"0.00";"0";"0.00";"0";"33.33";"1";"33.33";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"1";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"699";"199";"191";"32";"54.77";"109";"65.97";"126";"81.25";"26";"45.23";"90";"34.03";"65";"18.75";"6";"47.74";"95";"5.53";"11";"1.51";"3";"29.65";"59";"15.58";"31";"60.73";"116";"3.66";"7";"1.57";"3";"23.04";"44";"10.99";"21";"75.00";"24";"3.12";"1";"3.12";"1";"3.12";"1";"15.62";"5";"42.86";"24";"57.14";"32";"0.00";"0";"0.00";"0"
"702";"209";"195";"62";"70.81";"148";"51.79";"101";"87.10";"54";"29.19";"61";"48.21";"94";"12.90";"8";"63.64";"133";"4.31";"9";"2.87";"6";"21.05";"44";"8.13";"17";"46.67";"91";"4.10";"8";"1.03";"2";"32.31";"63";"15.90";"31";"85.48";"53";"1.61";"1";"0.00";"0";"3.23";"2";"9.68";"6";"34.92";"22";"57.14";"36";"7.94";"5";"0.00";"0"
"708";"5770";"5687";"1105";"22.95";"1324";"33.06";"1880";"35.75";"395";"77.05";"4446";"66.94";"3807";"64.25";"710";"19.13";"1104";"3.78";"218";"0.03";"2";"36.48";"2105";"40.57";"2341";"29.52";"1679";"3.48";"198";"0.05";"3";"33.62";"1912";"33.32";"1895";"34.48";"381";"1.27";"14";"0.00";"0";"24.80";"274";"39.46";"436";"16.92";"22";"80.77";"105";"2.31";"3";"0.00";"0"
"712";"2798";"2748";"512";"10.76";"301";"15.65";"430";"12.11";"62";"89.24";"2497";"84.35";"2318";"87.89";"450";"7.40";"207";"2.25";"63";"1.11";"31";"42.32";"1184";"46.93";"1313";"11.94";"328";"2.91";"80";"0.80";"22";"30.97";"851";"53.38";"1467";"9.38";"48";"0.78";"4";"1.95";"10";"43.55";"223";"44.34";"227";"31.65";"44";"67.63";"94";"0.72";"1";"0.00";"0"
"714";"161";"155";"42";"74.53";"120";"45.16";"70";"83.33";"35";"25.47";"41";"54.84";"85";"16.67";"7";"74.53";"120";"0.00";"0";"0.00";"0";"16.15";"26";"9.32";"15";"44.52";"69";"0.65";"1";"0.00";"0";"34.84";"54";"20.00";"31";"83.33";"35";"0.00";"0";"0.00";"0";"11.90";"5";"4.76";"2";"35.00";"7";"65.00";"13";"0.00";"0";"0.00";"0"
"716";"4";"4";"0";"0.00";"0";"25.00";"1";"0.00";"0";"100.00";"4";"75.00";"3";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"75.00";"3";"25.00";"1";"0.00";"0";"25.00";"1";"0.00";"0";"25.00";"1";"50.00";"2";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
"717";"14";"13";"4";"14.29";"2";"15.38";"2";"0.00";"0";"85.71";"12";"84.62";"11";"100.00";"4";"0.00";"0";"14.29";"2";"0.00";"0";"57.14";"8";"28.57";"4";"7.69";"1";"7.69";"1";"0.00";"0";"38.46";"5";"46.15";"6";"0.00";"0";"0.00";"0";"0.00";"0";"25.00";"1";"75.00";"3";"0.00";"0";"100.00";"1";"0.00";"0";"0.00";"0"
"719";"2256";"2228";"454";"4.30";"97";"6.82";"152";"2.42";"11";"95.70";"2159";"93.18";"2076";"97.58";"443";"3.37";"76";"0.89";"20";"0.04";"1";"45.04";"1016";"50.66";"1143";"5.48";"122";"1.26";"28";"0.09";"2";"27.60";"615";"65.57";"1461";"2.20";"10";"0.00";"0";"0.22";"1";"53.52";"243";"44.05";"200";"32.58";"29";"64.04";"57";"3.37";"3";"0.00";"0"
"721";"177";"169";"16";"52.54";"93";"44.38";"75";"37.50";"6";"47.46";"84";"55.62";"94";"62.50";"10";"50.85";"90";"1.69";"3";"0.00";"0";"21.47";"38";"25.99";"46";"40.24";"68";"4.14";"7";"0.00";"0";"24.85";"42";"30.77";"52";"37.50";"6";"0.00";"0";"0.00";"0";"37.50";"6";"25.00";"4";"22.22";"4";"66.67";"12";"11.11";"2";"0.00";"0"
"723";"4";"4";"0";"0.00";"0";"0.00";"0";"0.00";"0";"100.00";"4";"100.00";"4";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"25.00";"1";"75.00";"3";"0.00";"0";"0.00";"0";"0.00";"0";"25.00";"1";"75.00";"3";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0";"0.00";"0"
