ID;total activity in sure;total activity in possible;total activity out sure;total activity out possible;total activity inout sure;total activity inout possible;SHA in sure percent;SHA in sure number;SHA out sure percent;SHA out sure number;SHA inout sure percent;SHA inout sure number;SHA not taken in sure percent;SHA not taken in sure number;SHA not taken out sure percent;SHA not taken out sure number;SHA not taken inout sure percent;SHA not taken inout sure number;SHA in possible number;SHA out possible number;SHA inout possible number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;IN_POSSIBLE_NO_ALARM percent;IN_POSSIBLE_NO_ALARM number;IN_POSSIBLE_AFTER_ALARM percent;IN_POSSIBLE_AFTER_ALARM number;IN_POSSIBLE_DURING_ALARM percent;IN_POSSIBLE_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;IN_WEIRD_SUR percent;IN_WEIRD_SUR number;IN_WEIRD_POSSIBLE percent;IN_WEIRD_POSSIBLE number;IN_IMPOSSIBLE_SUR percent;IN_IMPOSSIBLE_SUR number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;OUT_POSSIBLE_NO_ALARM percent;OUT_POSSIBLE_NO_ALARM number;OUT_POSSIBLE_AFTER_ALARM percent;OUT_POSSIBLE_AFTER_ALARM number;OUT_POSSIBLE_DURING_ALARM percent;OUT_POSSIBLE_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;OUT_WEIRD_SUR percent;OUT_WEIRD_SUR number;OUT_WEIRD_POSSIBLE percent;OUT_WEIRD_POSSIBLE number;OUT_IMPOSSIBLE_SUR percent;OUT_IMPOSSIBLE_SUR number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;INOUT_POSSIBLE_NO_ALARM percent;INOUT_POSSIBLE_NO_ALARM number;INOUT_POSSIBLE_AFTER_ALARM percent;INOUT_POSSIBLE_AFTER_ALARM number;INOUT_POSSIBLE_DURING_ALARM percent;INOUT_POSSIBLE_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;INOUT_WEIRD_SUR percent;INOUT_WEIRD_SUR number;INOUT_WEIRD_POSSIBLE percent;INOUT_WEIRD_POSSIBLE number;INOUT_IMPOSSIBLE_SUR percent;INOUT_IMPOSSIBLE_SUR number
0;0;0;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
5;1;0;1;0;0;0;100.00;1;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0;0;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
402;5;0;5;0;0;0;40.00;2;40.00;2;0.00;0;60.00;3;60.00;3;0.00;0;0;0;0;50.00;1;50.00;1;0.00;0;0.00;0;0.00;0;0.00;0;66.67;2;33.33;1;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
404;602;3;587;18;77;0;16.11;97;25.38;149;19.48;15;81.06;488;68.82;404;80.52;62;3;9;0;70.10;68;29.90;29;0.00;0;0.00;0;100.00;3;0.00;0;44.06;215;55.94;273;0.03;17;0.00;0;0.00;0;83.22;124;16.78;25;0.00;0;100.00;9;0.00;0;0.00;0;48.51;196;51.49;208;0.06;34;0.50;9;0.00;0;86.67;13;13.33;2;0.00;0;0.00;0;0.00;0;0.00;0;67.74;42;32.26;20;0.00;0;0.00;0;0.00;0
412;5;1;4;2;0;0;0.00;0;0.00;0;0.00;0;80.00;4;100.00;4;0.00;0;0;1;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;2;50.00;2;0.20;1;1.00;1;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.50;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
425;10;0;10;0;3;0;0.00;0;30.00;3;100.00;3;100.00;10;70.00;7;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;5;50.00;5;0.00;0;0.00;0;0.00;0;66.67;2;33.33;1;0.00;0;0.00;0;0.00;0;0.00;0;42.86;3;57.14;4;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
435;115;15;95;35;12;0;17.39;20;26.32;25;66.67;8;82.61;95;71.58;68;33.33;4;9;31;0;100.00;20;0.00;0;0.00;0;77.78;7;22.22;2;0.00;0;71.58;68;28.42;27;0.00;0;0.40;6;0.00;0;100.00;25;0.00;0;0.00;0;87.10;27;3.23;1;9.68;3;69.12;47;30.88;21;0.02;2;0.11;4;0.00;0;100.00;8;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;25.00;1;75.00;3;0.00;0;0.00;0;0.00;0
446;101;15;83;33;15;0;20.79;21;21.69;18;40.00;6;78.22;79;80.72;67;60.00;9;9;30;0;85.71;18;14.29;3;0.00;0;55.56;5;44.44;4;0.00;0;72.15;57;27.85;22;0.06;6;0.40;6;0.00;0;77.78;14;11.11;2;11.11;2;86.67;26;3.33;1;10.00;3;52.24;35;47.76;32;0.04;3;0.09;3;0.00;0;100.00;6;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;44.44;4;55.56;5;0.00;0;0.00;0;0.00;0
501;91;1;85;7;12;0;46.15;42;35.29;30;8.33;1;53.85;49;62.35;53;91.67;11;0;5;0;97.62;41;2.38;1;0.00;0;0.00;0;0.00;0;0.00;0;93.88;46;6.12;3;0.00;0;1.00;1;0.00;0;70.00;21;30.00;9;0.00;0;100.00;5;0.00;0;0.00;0;92.45;49;7.55;4;0.02;2;0.29;2;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;81.82;9;18.18;2;0.00;0;0.00;0;0.00;0
530;9264;234;8896;602;1296;6;4.45;412;7.25;645;5.86;76;94.65;8768;91.66;8154;93.90;1217;170;469;5;67.48;278;32.04;132;0.49;2;16.47;28;82.35;140;1.18;2;46.32;4061;53.68;4707;0.01;82;0.28;66;0.00;0;76.28;492;23.41;151;0.31;2;67.59;317;31.34;147;1.07;5;46.64;3803;53.36;4351;0.01;97;0.22;133;0.00;0;89.47;68;10.53;8;0.00;0;40.00;2;60.00;3;0.00;0;45.44;553;54.56;664;0.00;3;0.17;1;0.00;0
534;49;0;48;1;25;0;24.49;12;22.92;11;52.00;13;71.43;35;60.42;29;40.00;10;0;0;0;91.67;11;8.33;1;0.00;0;0.00;0;0.00;0;0.00;0;68.57;24;31.43;11;0.04;2;0.00;0;0.00;0;90.91;10;9.09;1;0.00;0;0.00;0;0.00;0;0.00;0;37.93;11;62.07;18;0.17;8;1.00;1;0.00;0;100.00;13;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;70.00;7;30.00;3;0.08;2;0.00;0;0.00;0
581;132;4;114;22;15;1;45.45;60;43.86;50;33.33;5;53.03;70;52.63;60;66.67;10;4;17;0;91.67;55;8.33;5;0.00;0;100.00;4;0.00;0;0.00;0;62.86;44;37.14;26;0.02;2;0.00;0;0.00;0;90.00;45;10.00;5;0.00;0;82.35;14;17.65;3;0.00;0;58.33;35;41.67;25;0.04;4;0.23;5;0.00;0;100.00;5;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;40.00;4;60.00;6;0.00;0;1.00;1;0.00;0
598;8;0;7;1;0;0;50.00;4;28.57;2;0.00;0;50.00;4;71.43;5;0.00;0;0;1;0;50.00;2;50.00;2;0.00;0;0.00;0;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;100.00;1;80.00;4;20.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
605;7;2;7;2;0;0;14.29;1;14.29;1;0.00;0;71.43;5;85.71;6;0.00;0;0;1;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;60.00;3;40.00;2;0.14;1;1.00;2;0.00;0;0.00;0;0.00;0;100.00;1;100.00;1;0.00;0;0.00;0;33.33;2;66.67;4;0.00;0;0.50;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
611;2;0;2;0;1;0;0.00;0;0.00;0;0.00;0;100.00;2;100.00;2;100.00;1;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0
620;139;5;135;9;30;0;50.36;70;34.81;47;56.67;17;46.76;65;62.96;85;43.33;13;3;5;0;84.29;59;15.71;11;0.00;0;0.00;0;100.00;3;0.00;0;58.46;38;41.54;27;0.03;4;0.40;2;0.00;0;100.00;47;0.00;0;0.00;0;60.00;3;40.00;2;0.00;0;70.59;60;29.41;25;0.02;3;0.44;4;0.00;0;100.00;17;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;53.85;7;46.15;6;0.00;0;0.00;0;0.00;0
685;63;0;63;0;19;0;30.16;19;25.40;16;15.79;3;68.25;43;69.84;44;84.21;16;0;0;0;73.68;14;26.32;5;0.00;0;0.00;0;0.00;0;0.00;0;62.79;27;37.21;16;0.02;1;0.00;0;0.00;0;93.75;15;6.25;1;0.00;0;0.00;0;0.00;0;0.00;0;36.36;16;63.64;28;0.05;3;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;68.75;11;31.25;5;0.00;0;0.00;0;0.00;0
688;4;0;4;0;0;0;0.00;0;0.00;0;0.00;0;100.00;4;100.00;4;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
694;6;0;4;2;2;0;0.00;0;0.00;0;100.00;2;100.00;6;100.00;4;0.00;0;0;2;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;66.67;4;33.33;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;50.00;2;50.00;2;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
697;310;10;275;45;56;1;71.61;222;48.73;134;91.07;51;28.39;88;50.91;140;8.93;5;8;42;1;95.50;212;4.50;10;0.00;0;25.00;2;75.00;6;0.00;0;68.18;60;31.82;28;0.00;0;0.20;2;0.00;0;94.03;126;5.97;8;0.00;0;95.24;40;4.76;2;0.00;0;88.57;124;11.43;16;0.00;1;0.07;3;0.00;0;88.24;45;11.76;6;0.00;0;0.00;0;100.00;1;0.00;0;40.00;2;60.00;3;0.00;0;0.00;0;0.00;0
698;6;0;6;0;2;0;0.00;0;33.33;2;0.00;0;100.00;6;66.67;4;100.00;2;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;66.67;4;33.33;2;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;2;50.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0
699;283;7;250;40;27;0;36.75;104;54.80;137;59.26;16;62.54;177;42.80;107;40.74;11;5;35;0;85.58;89;14.42;15;0.00;0;40.00;2;60.00;3;0.00;0;73.45;130;26.55;47;0.01;2;0.29;2;0.00;0;91.24;125;8.76;12;0.00;0;88.57;31;11.43;4;0.00;0;59.81;64;40.19;43;0.02;6;0.12;5;0.00;0;87.50;14;12.50;2;0.00;0;0.00;0;0.00;0;0.00;0;27.27;3;72.73;8;0.00;0;0.00;0;0.00;0
702;277;21;235;63;78;4;37.55;104;33.62;79;61.54;48;62.09;172;65.53;154;38.46;30;15;55;3;90.38;94;9.62;10;0.00;0;40.00;6;60.00;9;0.00;0;63.95;110;36.05;62;0.00;1;0.29;6;0.00;0;87.34;69;12.66;10;0.00;0;83.64;46;16.36;9;0.00;0;66.23;102;33.77;52;0.01;2;0.13;8;0.00;0;93.75;45;6.25;3;0.00;0;0.00;0;100.00;3;0.00;0;40.00;12;60.00;18;0.00;0;0.25;1;0.00;0
708;8141;38;8030;149;1336;4;15.15;1233;21.13;1697;26.50;354;82.05;6680;74.23;5961;72.83;973;21;108;1;79.08;975;20.92;258;0.00;0;33.33;7;66.67;14;0.00;0;47.87;3198;52.13;3482;0.03;228;0.45;17;0.00;0;85.80;1456;14.20;241;0.00;0;72.22;78;27.78;30;0.00;0;49.54;2953;50.46;3008;0.05;372;0.28;41;0.00;0;96.33;341;3.67;13;0.00;0;100.00;1;0.00;0;0.00;0;41.21;401;58.79;572;0.01;9;0.75;3;0.00;0
712;4262;76;4149;189;658;0;5.44;232;9.79;406;6.99;46;93.90;4002;88.65;3678;92.55;609;51;157;0;56.03;130;43.97;102;0.00;0;13.73;7;86.27;44;0.00;0;46.45;1859;53.55;2143;0.01;32;0.33;25;0.00;0;73.89;300;25.86;105;0.25;1;64.33;101;33.76;53;1.91;3;39.02;1435;60.98;2243;0.02;69;0.17;32;0.00;0;89.13;41;10.87;5;0.00;0;0.00;0;0.00;0;0.00;0;45.65;278;54.35;331;0.00;3;0.00;0;0.00;0
714;277;3;250;30;58;2;50.18;139;35.60;89;70.69;41;44.77;124;60.80;152;27.59;16;3;24;2;93.53;130;6.47;9;0.00;0;0.00;0;100.00;3;0.00;0;71.77;89;28.23;35;0.05;14;0.00;0;0.00;0;94.38;84;5.62;5;0.00;0;87.50;21;12.50;3;0.00;0;66.45;101;33.55;51;0.04;9;0.20;6;0.00;0;97.56;40;2.44;1;0.00;0;0.00;0;100.00;2;0.00;0;81.25;13;18.75;3;0.02;1;0.00;0;0.00;0
716;4;0;4;0;0;0;0.00;0;25.00;1;0.00;0;100.00;4;75.00;3;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;75.00;3;25.00;1;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;33.33;1;66.67;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
717;20;0;19;1;7;0;15.00;3;0.00;0;0.00;0;85.00;17;94.74;18;100.00;7;0;1;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;70.59;12;29.41;5;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;33.33;6;66.67;12;0.05;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;14.29;1;85.71;6;0.00;0;0.00;0;0.00;0
719;3117;73;3052;138;488;2;1.28;40;3.34;102;1.64;8;98.46;3069;95.97;2929;98.36;480;53;117;2;67.50;27;32.50;13;0.00;0;13.21;7;86.79;46;0.00;0;44.57;1368;55.43;1701;0.00;13;0.27;20;0.00;0;71.57;73;27.45;28;0.98;1;64.10;75;33.33;39;2.56;3;30.62;897;69.38;2032;0.01;26;0.15;21;0.00;0;75.00;6;25.00;2;0.00;0;50.00;1;50.00;1;0.00;0;51.67;248;48.33;232;0.00;0;0.00;0;0.00;0
721;276;5;263;18;24;0;34.78;96;25.48;67;33.33;8;59.42;164;66.54;175;66.67;16;5;15;0;92.71;89;7.29;7;0.00;0;100.00;5;0.00;0;0.00;0;51.22;84;48.78;80;0.06;16;0.00;0;0.00;0;92.54;62;7.46;5;0.00;0;86.67;13;13.33;2;0.00;0;46.86;82;53.14;93;0.08;21;0.17;3;0.00;0;100.00;8;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;8;50.00;8;0.00;0;0.00;0;0.00;0
723;4;0;4;0;0;0;0.00;0;0.00;0;0.00;0;100.00;4;100.00;4;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;25.00;1;75.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;25.00;1;75.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
725;8202;173;7901;474;561;4;19.57;1605;20.92;1653;31.19;175;76.49;6274;74.70;5902;68.27;383;101;367;2;52.65;845;47.35;760;0.00;0;23.76;24;76.24;77;0.00;0;43.08;2703;56.92;3571;0.04;340;0.42;72;0.00;0;73.68;1218;26.32;435;0.00;0;75.48;277;23.43;86;1.09;4;48.51;2863;51.49;3039;0.05;363;0.23;107;0.00;0;48.57;85;51.43;90;0.00;0;50.00;1;50.00;1;0.00;0;27.68;106;72.32;277;0.01;3;0.50;2;0.00;0
726;447;17;384;80;93;9;48.55;217;34.11;131;79.57;74;49.22;220;65.36;251;20.43;19;12;61;5;97.70;212;2.30;5;0.00;0;0.00;0;100.00;12;0.00;0;56.36;124;43.64;96;0.02;10;0.29;5;0.00;0;93.13;122;6.87;9;0.00;0;88.52;54;11.48;7;0.00;0;76.10;191;23.90;60;0.01;2;0.24;19;0.00;0;100.00;74;0.00;0;0.00;0;100.00;5;0.00;0;0.00;0;52.63;10;47.37;9;0.00;0;0.44;4;0.00;0
727;8349;108;8135;322;1253;4;10.86;907;23.49;1911;24.34;305;87.40;7297;72.33;5884;75.42;945;81;262;3;61.30;556;38.70;351;0.00;0;16.05;13;83.95;68;0.00;0;43.85;3200;56.15;4097;0.02;165;0.25;27;0.00;0;78.70;1504;21.14;404;0.16;3;70.99;186;28.63;75;0.38;1;43.25;2545;56.75;3339;0.04;360;0.19;60;0.00;0;93.11;284;6.89;21;0.00;0;0.00;0;100.00;3;0.00;0;37.88;358;62.12;587;0.00;6;0.25;1;0.00;0
729;2595;22;2529;88;615;2;7.44;193;24.91;630;20.16;124;91.87;2384;74.42;1882;80.16;493;14;75;1;56.48;109;43.52;84;0.00;0;28.57;4;71.43;10;0.00;0;35.36;843;64.64;1541;0.01;29;0.36;8;0.00;0;74.29;468;25.71;162;0.00;0;76.00;57;24.00;18;0.00;0;43.94;827;56.06;1055;0.01;28;0.15;13;0.00;0;73.39;91;26.61;33;0.00;0;0.00;0;100.00;1;0.00;0;19.68;97;80.32;396;0.00;0;0.50;1;0.00;0
730;13;0;11;2;0;0;0.00;0;18.18;2;0.00;0;100.00;13;81.82;9;0.00;0;0;1;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;13;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;100.00;9;0.00;0;0.00;0;0.50;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
731;3519;26;3480;65;383;1;14.66;516;23.99;835;22.98;88;81.87;2881;69.40;2415;76.76;294;14;37;1;69.96;361;30.04;155;0.00;0;14.29;2;85.71;12;0.00;0;44.29;1276;55.71;1605;0.04;139;0.46;12;0.00;0;76.41;638;23.59;197;0.00;0;89.19;33;10.81;4;0.00;0;43.19;1043;56.81;1372;0.07;247;0.43;28;0.00;0;93.18;82;6.82;6;0.00;0;0.00;0;100.00;1;0.00;0;43.54;128;56.46;166;0.01;5;0.00;0;0.00;0
732;7349;130;7142;337;1206;4;11.81;868;23.86;1704;26.04;314;86.92;6388;74.40;5314;74.05;893;90;274;3;61.06;530;38.94;338;0.00;0;14.44;13;85.56;77;0.00;0;41.95;2680;58.05;3708;0.02;123;0.31;40;0.00;0;76.94;1311;23.06;393;0.00;0;72.99;200;27.01;74;0.00;0;47.50;2524;52.50;2790;0.02;154;0.19;63;0.00;0;71.66;225;28.34;89;0.00;0;33.33;1;66.67;2;0.00;0;31.58;282;68.42;611;0.00;3;0.25;1;0.00;0
733;3;0;3;0;1;0;0.00;0;100.00;3;100.00;1;100.00;3;0.00;0;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
736;1504;31;1465;70;194;0;7.11;107;19.04;279;20.10;39;94.22;1417;80.68;1182;81.44;158;19;48;0;62.62;67;37.38;40;0.00;0;10.53;2;89.47;17;0.00;0;42.41;601;57.59;816;0.01;15;0.39;12;0.00;0;75.63;211;24.37;68;0.00;0;75.00;36;25.00;12;0.00;0;33.84;400;66.16;782;0.03;39;0.31;22;0.00;0;76.92;30;23.08;9;0.00;0;0.00;0;0.00;0;0.00;0;42.41;67;57.59;91;0.00;0;0.00;0;0.00;0
747;52;2;52;2;4;0;7.69;4;7.69;4;25.00;1;96.15;50;96.15;50;75.00;3;2;1;0;50.00;2;50.00;2;0.00;0;0.00;0;100.00;2;0.00;0;40.00;20;60.00;30;0.00;0;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;62.00;31;38.00;19;0.00;0;0.50;1;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0
751;4;0;4;0;0;0;0.00;0;0.00;0;0.00;0;100.00;4;100.00;4;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;2;50.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;2;50.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
753;30;3;28;5;1;0;6.67;2;3.57;1;0.00;0;90.00;27;92.86;26;100.00;1;2;3;0;100.00;2;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;92.59;25;7.41;2;0.03;1;0.33;1;0.00;0;100.00;1;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;92.31;24;7.69;2;0.04;1;0.40;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0
754;8093;158;7823;428;616;8;15.32;1240;35.49;2776;34.90;215;83.69;6773;61.56;4816;64.45;397;102;353;6;51.29;636;48.71;604;0.00;0;8.82;9;91.18;93;0.00;0;38.54;2610;61.46;4163;0.02;127;0.35;56;0.00;0;70.64;1961;29.29;813;0.07;2;79.89;282;19.83;70;0.28;1;52.82;2544;47.18;2272;0.04;278;0.18;75;0.00;0;46.51;100;53.49;115;0.00;0;50.00;3;50.00;3;0.00;0;26.20;104;73.80;293;0.01;4;0.25;2;0.00;0
755;8799;142;8558;383;1097;5;5.92;521;11.33;970;11.39;125;93.35;8214;87.38;7478;89.06;977;100;295;4;62.57;326;37.43;195;0.00;0;13.00;13;86.00;86;1.00;1;43.73;3592;56.27;4622;0.02;141;0.30;42;0.00;0;71.13;690;28.87;280;0.00;0;66.78;197;31.19;92;2.03;6;39.03;2919;60.97;4559;0.02;187;0.23;88;0.00;0;77.60;97;22.40;28;0.00;0;0.00;0;100.00;4;0.00;0;35.72;349;64.28;628;0.00;2;0.20;1;0.00;0
756;6;0;6;0;0;0;0.00;0;0.00;0;0.00;0;100.00;6;100.00;6;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;6;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;6;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
761;6286;129;6054;361;845;0;14.03;882;23.84;1443;19.41;164;84.16;5290;73.95;4477;80.36;679;93;298;0;61.68;544;38.32;338;0.00;0;21.51;20;78.49;73;0.00;0;41.78;2210;58.22;3080;0.03;165;0.28;36;0.00;0;74.57;1076;25.43;367;0.00;0;74.16;221;24.83;74;1.01;3;45.92;2056;54.08;2421;0.03;185;0.17;63;0.00;0;82.32;135;17.68;29;0.00;0;0.00;0;0.00;0;0.00;0;37.85;257;62.15;422;0.01;7;0.00;0;0.00;0
763;7;2;2;7;1;0;0.00;0;0.00;0;0.00;0;100.00;7;100.00;2;100.00;1;2;5;0;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;71.43;5;28.57;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;60.00;3;40.00;2;0.00;0;100.00;2;0.00;0;0.00;0;0.29;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0
804;1496;37;1434;99;224;3;10.70;160;14.37;206;18.75;42;88.90;1330;84.94;1218;80.80;181;29;91;3;63.75;102;36.25;58;0.00;0;31.03;9;68.97;20;0.00;0;46.47;618;53.53;712;0.02;24;0.22;8;0.00;0;83.98;173;16.02;33;0.00;0;75.82;69;23.08;21;1.10;1;49.84;607;50.16;611;0.02;28;0.08;8;0.00;0;90.48;38;9.52;4;0.00;0;100.00;3;0.00;0;0.00;0;56.35;102;43.65;79;0.00;1;0.00;0;0.00;0
