ID;total activity in sure;total activity in possible;total activity out sure;total activity out possible;total activity inout sure;total activity inout possible;SHA in sure percent;SHA in sure number;SHA out sure percent;SHA out sure number;SHA inout sure percent;SHA inout sure number;SHA not taken in sure percent;SHA not taken in sure number;SHA not taken out sure percent;SHA not taken out sure number;SHA not taken inout sure percent;SHA not taken inout sure number;SHA in possible number;SHA out possible number;SHA inout possible number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;IN_POSSIBLE_NO_ALARM percent;IN_POSSIBLE_NO_ALARM number;IN_POSSIBLE_AFTER_ALARM percent;IN_POSSIBLE_AFTER_ALARM number;IN_POSSIBLE_DURING_ALARM percent;IN_POSSIBLE_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;IN_WEIRD_SUR percent;IN_WEIRD_SUR number;IN_WEIRD_POSSIBLE percent;IN_WEIRD_POSSIBLE number;IN_IMPOSSIBLE_SUR percent;IN_IMPOSSIBLE_SUR number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;OUT_POSSIBLE_NO_ALARM percent;OUT_POSSIBLE_NO_ALARM number;OUT_POSSIBLE_AFTER_ALARM percent;OUT_POSSIBLE_AFTER_ALARM number;OUT_POSSIBLE_DURING_ALARM percent;OUT_POSSIBLE_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;OUT_WEIRD_SUR percent;OUT_WEIRD_SUR number;OUT_WEIRD_POSSIBLE percent;OUT_WEIRD_POSSIBLE number;OUT_IMPOSSIBLE_SUR percent;OUT_IMPOSSIBLE_SUR number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;INOUT_POSSIBLE_NO_ALARM percent;INOUT_POSSIBLE_NO_ALARM number;INOUT_POSSIBLE_AFTER_ALARM percent;INOUT_POSSIBLE_AFTER_ALARM number;INOUT_POSSIBLE_DURING_ALARM percent;INOUT_POSSIBLE_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;INOUT_WEIRD_SUR percent;INOUT_WEIRD_SUR number;INOUT_WEIRD_POSSIBLE percent;INOUT_WEIRD_POSSIBLE number;INOUT_IMPOSSIBLE_SUR percent;INOUT_IMPOSSIBLE_SUR number
909;47;0;42;5;21;0;51.06;24;52.38;22;80.95;17;46.81;22;47.62;20;19.05;4;0;5;0;100.00;24;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;72.73;16;27.27;6;0.02;1;0.00;0;0.00;0;100.00;22;0.00;0;0.00;0;100.00;5;0.00;0;0.00;0;75.00;15;25.00;5;0.00;0;0.00;0;0.00;0;100.00;17;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.00;0;0.00;0
910;84;9;70;23;27;4;32.14;27;30.00;21;55.56;15;67.86;57;70.00;49;44.44;12;6;20;2;88.89;24;11.11;3;0.00;0;50.00;3;50.00;3;0.00;0;78.95;45;21.05;12;0.00;0;0.33;3;0.00;0;90.48;19;9.52;2;0.00;0;95.00;19;5.00;1;0.00;0;55.10;27;44.90;22;0.00;0;0.13;3;0.00;0;100.00;15;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;58.33;7;41.67;5;0.00;0;0.50;2;0.00;0
911;187;6;180;13;53;0;32.09;60;41.11;74;50.94;27;66.84;125;59.44;107;49.06;26;6;12;0;90.00;54;10.00;6;0.00;0;0.00;0;100.00;6;0.00;0;52.00;65;48.00;60;0.03;5;0.00;0;0.00;0;98.65;73;1.35;1;0.00;0;58.33;7;41.67;5;0.00;0;65.42;70;34.58;37;0.01;2;0.08;1;0.00;0;92.59;25;7.41;2;0.00;0;0.00;0;0.00;0;0.00;0;30.77;8;69.23;18;0.00;0;0.00;0;0.00;0
912;71;0;70;1;18;0;43.66;31;32.86;23;77.78;14;53.52;38;62.86;44;11.11;2;0;1;0;80.65;25;19.35;6;0.00;0;0.00;0;0.00;0;0.00;0;63.16;24;36.84;14;0.03;2;0.00;0;0.00;0;95.65;22;4.35;1;0.00;0;100.00;1;0.00;0;0.00;0;52.27;23;47.73;21;0.04;3;0.00;0;0.00;0;100.00;14;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;2;0.11;2;0.00;0;0.00;0
913;146;4;147;3;26;0;55.48;81;51.02;75;76.92;20;43.84;64;47.62;70;23.08;6;3;2;0;93.83;76;6.17;5;0.00;0;33.33;1;66.67;2;0.00;0;56.25;36;43.75;28;0.01;1;0.25;1;0.00;0;97.33;73;2.67;2;0.00;0;100.00;2;0.00;0;0.00;0;72.86;51;27.14;19;0.01;2;0.33;1;0.00;0;100.00;20;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;16.67;1;83.33;5;0.00;0;0.00;0;0.00;0
914;546;26;514;58;184;16;37.00;202;29.38;151;54.89;101;63.19;345;70.82;364;47.28;87;17;47;8;97.52;197;2.48;5;0.00;0;23.53;4;76.47;13;0.00;0;55.07;190;44.93;155;0.00;2;0.35;9;0.00;0;90.07;136;9.93;15;0.00;0;87.23;41;12.77;6;0.00;0;72.25;263;27.75;101;0.00;2;0.19;11;0.00;0;98.02;99;1.98;2;0.00;0;12.50;1;87.50;7;0.00;0;55.17;48;44.83;39;0.00;0;0.50;8;0.00;0
915;2381;40;2263;158;496;5;12.52;298;26.82;607;22.98;114;86.85;2068;71.85;1626;76.81;381;35;129;3;66.11;197;33.89;101;0.00;0;17.14;6;82.86;29;0.00;0;47.10;974;52.90;1094;0.01;19;0.12;5;0.00;0;87.64;532;12.36;75;0.00;0;75.97;98;24.03;31;0.00;0;60.52;984;39.48;642;0.02;34;0.18;29;0.00;0;87.72;100;12.28;14;0.00;0;33.33;1;66.67;2;0.00;0;41.21;157;58.79;224;0.00;1;0.40;2;0.00;0
917;776;10;754;32;120;0;48.07;373;44.43;335;49.17;59;50.13;389;54.38;410;50.83;61;10;25;0;89.54;334;10.46;39;0.00;0;40.00;4;60.00;6;0.00;0;52.19;203;47.81;186;0.02;15;0.00;0;0.00;0;89.85;301;10.15;34;0.00;0;88.00;22;12.00;3;0.00;0;61.95;254;38.05;156;0.01;10;0.22;7;0.00;0;91.53;54;8.47;5;0.00;0;0.00;0;0.00;0;0.00;0;47.54;29;52.46;32;0.00;0;0.00;0;0.00;0
918;2593;49;2504;138;537;1;12.77;331;25.72;644;29.98;161;86.00;2230;72.84;1824;70.02;376;37;102;0;62.24;206;37.76;125;0.00;0;13.51;5;86.49;32;0.00;0;48.07;1072;51.93;1158;0.01;38;0.24;12;0.00;0;84.16;542;15.68;101;0.16;1;70.59;72;28.43;29;0.98;1;60.53;1104;39.47;720;0.02;42;0.26;36;0.00;0;86.34;139;13.66;22;0.00;0;0.00;0;0.00;0;0.00;0;32.98;124;67.02;252;0.00;0;1.00;1;0.00;0
919;119;0;116;3;28;0;7.56;9;6.03;7;17.86;5;92.44;110;93.97;109;82.14;23;0;2;0;66.67;6;33.33;3;0.00;0;0.00;0;0.00;0;0.00;0;50.00;55;50.00;55;0.00;0;0.00;0;0.00;0;100.00;7;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;56.88;62;43.12;47;0.00;0;0.33;1;0.00;0;60.00;3;40.00;2;0.00;0;0.00;0;0.00;0;0.00;0;21.74;5;78.26;18;0.00;0;0.00;0;0.00;0
