ID;total activity in;total activity out;total activity inout;SHA in percent;SHA in number;SHA out percent;SHA out number;SHA inout percent;SHA inout number;SHA not taken in percent;SHA not taken in number;SHA not taken out percent;SHA not taken out number;SHA not taken inout percent;SHA not taken inout number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;ABANDON_IN percent;ABANDON_IN number;ABANDON_OUT percent;ABANDON_OUT number;ABANDON_INOUT percent;ABANDON_INOUT number;IMPOSSIBLE percent;IMPOSSIBLE number
818;97;92;15;73.20;71;76.09;70;66.67;10;26.80;26;23.91;22;33.33;5;72.16;70;1.03;1;0.00;0;9.28;9;17.53;17;72.83;67;3.26;3;0.00;0;15.22;14;8.70;8;66.67;10;0.00;0;0.00;0;26.67;4;6.67;1;40.74;11;59.26;16;0.00;0;0.00;0
819;3104;2972;1312;28.35;880;44.21;1314;30.34;398;71.65;2224;55.79;1658;69.66;914;21.33;662;4.28;133;2.74;85;34.44;1069;37.21;1155;35.70;1061;6.66;198;1.85;55;40.58;1206;15.21;452;25.38;333;1.91;25;3.05;40;53.35;700;16.31;214;33.01;171;58.49;303;8.49;44;0.00;0
820;2310;2314;600;8.35;193;11.11;257;7.00;42;91.65;2117;88.89;2057;93.00;558;3.51;81;1.86;43;2.99;69;33.03;763;58.61;1354;7.00;162;1.69;39;2.42;56;57.48;1330;31.42;727;3.67;22;0.83;5;2.50;15;67.33;404;25.67;154;49.26;100;47.29;96;3.45;7;0.00;0
821;686;681;139;12.83;88;23.20;158;16.55;23;87.17;598;76.80;523;83.45;116;7.14;49;4.96;34;0.73;5;28.43;195;58.75;403;19.24;131;3.67;25;0.29;2;27.17;185;49.63;338;13.67;19;0.72;1;2.16;3;71.22;99;12.23;17;44.59;33;51.35;38;4.05;3;0.00;0
822;2427;2403;843;33.79;820;22.47;540;23.13;195;66.21;1607;77.53;1863;76.87;648;30.16;732;1.85;45;1.77;43;31.97;776;34.24;831;18.35;441;2.54;61;1.58;38;54.18;1302;23.35;561;20.40;172;1.30;11;1.42;12;59.43;501;17.44;147;44.16;121;52.92;145;2.92;8;0.00;0
823;2721;2685;717;18.41;501;22.61;607;12.13;87;81.59;2220;77.39;2078;87.87;630;14.85;404;2.54;69;1.03;28;29.18;794;52.41;1426;18.47;496;2.83;76;1.30;35;40.56;1089;36.83;989;9.34;67;1.26;9;1.53;11;62.20;446;25.66;184;40.28;87;56.94;123;2.78;6;0.00;0
824;55;56;22;54.55;30;80.36;45;50.00;11;45.45;25;19.64;11;50.00;11;54.55;30;0.00;0;0.00;0;21.82;12;23.64;13;76.79;43;3.57;2;0.00;0;14.29;8;5.36;3;50.00;11;0.00;0;0.00;0;45.45;10;4.55;1;50.00;4;37.50;3;12.50;1;0.00;0
828;63;62;28;7.94;5;17.74;11;7.14;2;92.06;58;82.26;51;92.86;26;6.35;4;1.59;1;0.00;0;46.03;29;46.03;29;17.74;11;0.00;0;0.00;0;59.68;37;22.58;14;7.14;2;0.00;0;0.00;0;78.57;22;14.29;4;42.86;3;57.14;4;0.00;0;0.00;0
849;106;100;6;80.19;85;91.00;91;66.67;4;19.81;21;9.00;9;33.33;2;77.36;82;2.83;3;0.00;0;9.43;10;10.38;11;90.00;90;1.00;1;0.00;0;6.00;6;3.00;3;66.67;4;0.00;0;0.00;0;33.33;2;0.00;0;20.00;2;80.00;8;0.00;0;0.00;0
853;1892;1872;227;20.30;384;51.71;968;29.96;68;79.70;1508;48.29;904;70.04;159;13.37;253;6.92;131;0.00;0;27.43;519;52.27;989;44.18;827;7.48;140;0.05;1;18.54;347;29.75;557;27.31;62;2.64;6;0.00;0;61.23;139;8.81;20;35.71;30;59.52;50;4.76;4;0.00;0
857;1255;1229;173;17.85;224;52.97;651;33.53;58;82.15;1031;47.03;578;66.47;115;11.31;142;6.45;81;0.08;1;31.00;389;51.16;642;43.78;538;9.11;112;0.08;1;21.07;259;25.96;319;29.48;51;4.05;7;0.00;0;57.80;100;8.67;15;34.12;29;64.71;55;1.18;1;0.00;0
864;3694;3636;410;76.20;2815;79.81;2902;64.15;263;23.80;879;20.19;734;35.85;147;73.52;2716;2.25;83;0.43;16;10.61;392;13.18;487;77.12;2804;2.23;81;0.47;17;13.26;482;6.93;252;62.20;255;1.71;7;0.24;1;27.56;113;8.29;34;40.62;156;55.73;214;3.65;14;0.00;0
871;1377;1353;111;37.84;521;61.79;836;26.13;29;62.16;856;38.21;517;73.87;82;31.95;440;5.81;80;0.07;1;21.28;293;40.89;563;56.91;770;4.80;65;0.07;1;21.73;294;16.48;223;25.23;28;0.90;1;0.00;0;55.86;62;18.02;20;21.74;10;73.91;34;4.35;2;0.00;0
900;1978;1973;288;68.60;1357;75.52;1490;60.07;173;31.40;621;24.48;483;39.93;115;62.34;1233;5.46;108;0.81;16;9.35;185;22.04;436;67.41;1330;7.15;141;0.96;19;15.00;296;9.48;187;57.29;165;1.74;5;1.04;3;28.47;82;11.46;33;46.77;123;48.67;128;4.56;12;0.00;0
902;395;392;50;7.34;29;44.13;173;28.00;14;92.66;366;55.87;219;72.00;36;4.81;19;2.53;10;0.00;0;25.82;102;66.84;264;38.01;149;6.12;24;0.00;0;28.06;110;27.81;109;20.00;10;8.00;4;0.00;0;48.00;24;24.00;12;42.86;12;53.57;15;3.57;1;0.00;0
903;14;14;0;21.43;3;7.14;1;0.00;0;78.57;11;92.86;13;0.00;0;14.29;2;7.14;1;0.00;0;21.43;3;57.14;8;0.00;0;7.14;1;0.00;0;50.00;7;42.86;6;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
904;166;147;60;3.61;6;24.49;36;10.00;6;96.39;160;75.51;111;90.00;54;2.41;4;1.20;2;0.00;0;22.89;38;73.49;122;21.77;32;2.72;4;0.00;0;51.70;76;23.81;35;6.67;4;3.33;2;0.00;0;45.00;27;45.00;27;4.17;1;83.33;20;12.50;3;0.00;0
905;2418;2355;864;12.41;300;24.25;571;11.00;95;87.59;2118;75.75;1784;89.00;769;7.28;176;3.47;84;1.65;40;29.61;716;57.98;1402;19.24;453;3.01;71;2.00;47;42.72;1006;33.04;778;7.52;65;2.20;19;1.27;11;61.11;528;27.89;241;36.42;110;57.28;173;6.29;19;0.00;0
906;16;13;2;37.50;6;53.85;7;50.00;1;62.50;10;46.15;6;50.00;1;31.25;5;6.25;1;0.00;0;31.25;5;31.25;5;38.46;5;7.69;1;7.69;1;15.38;2;30.77;4;50.00;1;0.00;0;0.00;0;50.00;1;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0
907;129;127;19;58.91;76;72.44;92;57.89;11;41.09;53;27.56;35;42.11;8;55.81;72;3.10;4;0.00;0;14.73;19;26.36;34;66.93;85;3.94;5;1.57;2;17.32;22;10.24;13;57.89;11;0.00;0;0.00;0;36.84;7;5.26;1;46.15;12;53.85;14;0.00;0;0.00;0
908;884;886;139;78.05;690;80.36;712;76.26;106;21.95;194;19.64;174;23.74;33;76.47;676;1.02;9;0.57;5;10.29;91;11.65;103;77.77;689;2.14;19;0.45;4;11.17;99;8.47;75;74.82;104;0.72;1;0.72;1;17.99;25;5.76;8;50.44;57;48.67;55;0.88;1;0.00;0
909;29;31;0;75.86;22;83.87;26;0.00;0;24.14;7;16.13;5;0.00;0;72.41;21;3.45;1;0.00;0;17.24;5;6.90;2;83.87;26;0.00;0;0.00;0;9.68;3;6.45;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;75.00;3;25.00;1;0.00;0;0.00;0
910;45;42;7;66.67;30;85.71;36;71.43;5;33.33;15;14.29;6;28.57;2;62.22;28;0.00;0;4.44;2;22.22;10;11.11;5;83.33;35;2.38;1;0.00;0;9.52;4;4.76;2;71.43;5;0.00;0;0.00;0;14.29;1;14.29;1;40.00;8;55.00;11;5.00;1;0.00;0
911;80;86;6;55.00;44;69.77;60;66.67;4;45.00;36;30.23;26;33.33;2;47.50;38;6.25;5;1.25;1;13.75;11;31.25;25;63.95;55;5.81;5;0.00;0;11.63;10;18.60;16;66.67;4;0.00;0;0.00;0;33.33;2;0.00;0;71.43;10;28.57;4;0.00;0;0.00;0
912;26;29;1;73.08;19;75.86;22;100.00;1;26.92;7;24.14;7;0.00;0;69.23;18;3.85;1;0.00;0;11.54;3;15.38;4;75.86;22;0.00;0;0.00;0;6.90;2;17.24;5;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;80.00;4;20.00;1;0.00;0;0.00;0
913;111;113;11;73.87;82;76.11;86;100.00;11;26.13;29;23.89;27;0.00;0;70.27;78;2.70;3;0.90;1;14.41;16;11.71;13;72.57;82;3.54;4;0.00;0;17.70;20;6.19;7;100.00;11;0.00;0;0.00;0;0.00;0;0.00;0;62.50;5;37.50;3;0.00;0;0.00;0
914;296;291;42;65.54;194;65.29;190;54.76;23;34.46;102;34.71;101;45.24;19;61.49;182;2.36;7;1.69;5;14.19;42;20.27;60;62.89;183;1.37;4;1.03;3;27.15;79;7.56;22;54.76;23;0.00;0;0.00;0;38.10;16;7.14;3;45.05;41;50.55;46;4.40;4;0.00;0
915;1624;1589;461;18.17;295;52.11;828;25.81;119;81.83;1329;47.89;761;74.19;342;11.51;187;5.23;85;1.42;23;27.65;449;54.19;880;47.51;755;3.59;57;1.01;16;34.05;541;13.85;220;21.69;100;3.04;14;1.08;5;50.33;232;23.86;110;37.63;70;56.45;105;5.91;11;0.00;0
