%Infos :
%Everything after a '%' in the same line is a comment, if you want to write anything put a '%' first !
%The ID '0' corresponds to no one in particular (could be the patient or visitors).

      |                                                              SHA taken                                                               |                                  SHA not taken                                 |
      |______________________________________________________________________________________________________________________________________|________________________________________________________________________________|
  ID  |                                       sure                                     |                     possible                        |                                       sure                                     |
      |________________________________________________________________________________|_____________________________________________________|________________________________________________________________________________|
      |             in           |             out          |           inout          |       in        |       out       |      inout      |             in           |            out           |          inout           |
      |__________________________|__________________________|__________________________|_________________|_________________|_________________|__________________________|__________________________|__________________________|
      |    %   |   nb   |  total |    %   |   nb   |  total |    %   |   nb   |  total |    %   |   nb   |    %   |   nb   |    %   |   nb   |    %   |   nb   |  total |    %   |   nb   |  total |    %   |   nb   |  total |
  581 |  61.03 |     83 |    134 |  44.85 |     61 |    115 |  81.25 |     13 |     15 |   0.01 |      2 |   0.15 |     21 |   0.06 |      1 |  37.50 |     51 |    134 |  39.71 |     54 |    115 |  12.50 |      2 |     15 | 
  598 |  75.00 |      6 |      8 |  50.00 |      4 |      7 |   0.00 |      0 |      0 |   0.00 |      0 |   0.12 |      1 |   0.00 |      0 |  25.00 |      2 |      8 |  37.50 |      3 |      7 |   0.00 |      0 |      0 | 
  605 |  22.22 |      2 |      7 |  22.22 |      2 |      7 |   0.00 |      0 |      0 |   0.22 |      2 |   0.22 |      2 |   0.00 |      0 |  55.56 |      5 |      7 |  55.56 |      5 |      7 |   0.00 |      0 |      0 | 
  611 |   0.00 |      0 |      2 |   0.00 |      0 |      2 |   0.00 |      0 |      1 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 | 100.00 |      2 |      2 | 100.00 |      2 |      2 | 100.00 |      1 |      1 | 
  620 |  70.83 |    102 |    139 |  57.64 |     83 |    135 |  90.00 |     27 |     30 |   0.03 |      5 |   0.06 |      9 |   0.00 |      0 |  25.69 |     37 |    139 |  36.11 |     52 |    135 |  10.00 |      3 |     30 | 
  685 |  38.10 |     24 |     63 |  31.75 |     20 |     63 |  21.05 |      4 |     19 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  61.90 |     39 |     63 |  68.25 |     43 |     63 |  78.95 |     15 |     19 | 
  688 |   0.00 |      0 |      4 |   0.00 |      0 |      4 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 | 100.00 |      4 |      4 | 100.00 |      4 |      4 |   0.00 |      0 |      0 | 
  694 |   0.00 |      0 |      6 |   0.00 |      0 |      4 | 100.00 |      2 |      2 |   0.00 |      0 |   0.33 |      2 |   0.00 |      0 | 100.00 |      6 |      6 |  66.67 |      4 |      4 |   0.00 |      0 |      2 | 
  697 |  77.19 |    247 |    311 |  49.06 |    157 |    275 |  89.47 |     51 |     56 |   0.03 |      9 |   0.14 |     45 |   0.02 |      1 |  20.00 |     64 |    311 |  36.88 |    118 |    275 |   8.77 |      5 |     56 | 
  698 |   0.00 |      0 |      6 |  33.33 |      2 |      6 |   0.00 |      0 |      2 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 | 100.00 |      6 |      6 |  66.67 |      4 |      6 | 100.00 |      2 |      2 | 
  699 |  49.31 |    143 |    283 |  56.55 |    164 |    253 |  81.48 |     22 |     27 |   0.02 |      7 |   0.13 |     37 |   0.00 |      0 |  48.28 |    140 |    283 |  30.69 |     89 |    253 |  18.52 |      5 |     27 | 
  702 |  60.07 |    179 |    279 |  41.95 |    125 |    240 |  81.71 |     67 |     79 |   0.06 |     19 |   0.19 |     58 |   0.04 |      3 |  33.56 |    100 |    279 |  38.59 |    115 |    240 |  14.63 |     12 |     79 | 
  708 |  25.24 |   2074 |   8175 |  32.87 |   2701 |   8063 |  35.15 |    477 |   1353 |   0.00 |     41 |   0.02 |    153 |   0.00 |      4 |  74.26 |   6101 |   8175 |  65.26 |   5362 |   8063 |  64.55 |    876 |   1353 | 
  712 |  12.64 |    553 |   4301 |  16.27 |    712 |   4186 |   9.83 |     68 |    692 |   0.02 |     75 |   0.04 |    190 |   0.00 |      0 |  85.65 |   3748 |   4301 |  79.39 |   3474 |   4186 |  90.17 |    624 |    692 | 
  714 |  67.86 |    190 |    278 |  43.57 |    122 |    250 |  86.89 |     53 |     61 |   0.01 |      2 |   0.11 |     30 |   0.00 |      0 |  31.43 |     88 |    278 |  45.71 |    128 |    250 |  13.11 |      8 |     61 | 
  716 |   0.00 |      0 |      4 |  25.00 |      1 |      4 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 | 100.00 |      4 |      4 |  75.00 |      3 |      4 |   0.00 |      0 |      0 | 
  717 |  15.00 |      3 |     20 |   5.00 |      1 |     19 |   0.00 |      0 |      7 |   0.00 |      0 |   0.05 |      1 |   0.00 |      0 |  85.00 |     17 |     20 |  90.00 |     18 |     19 | 100.00 |      7 |      7 | 
  719 |   5.85 |    189 |   3161 |   8.01 |    259 |   3093 |   3.44 |     18 |    520 |   0.02 |     71 |   0.04 |    139 |   0.01 |      4 |  91.96 |   2972 |   3161 |  87.69 |   2834 |   3093 |  95.80 |    502 |    520 | 
  721 |  51.96 |    146 |    275 |  42.35 |    119 |    264 |  37.50 |      9 |     24 |   0.02 |      6 |   0.06 |     17 |   0.00 |      0 |  45.91 |    129 |    275 |  51.60 |    145 |    264 |  62.50 |     15 |     24 | 
  723 |   0.00 |      0 |      4 |   0.00 |      0 |      4 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 | 100.00 |      4 |      4 | 100.00 |      4 |      4 |   0.00 |      0 |      0 | 
  725 |  29.52 |   2489 |   8262 |  28.37 |   2392 |   7960 |  36.68 |    212 |    573 |   0.02 |    169 |   0.06 |    471 |   0.01 |      5 |  68.47 |   5773 |   8262 |  66.04 |   5568 |   7960 |  62.46 |    361 |    573 | 
  726 |  59.44 |    277 |    452 |  37.34 |    174 |    386 |  79.25 |     84 |    102 |   0.03 |     14 |   0.17 |     80 |   0.04 |      4 |  37.55 |    175 |    452 |  45.49 |    212 |    386 |  16.98 |     18 |    102 | 
  727 |  21.01 |   1782 |   8384 |  35.64 |   3023 |   8170 |  35.34 |    451 |   1272 |   0.01 |     97 |   0.04 |    311 |   0.00 |      4 |  77.84 |   6602 |   8384 |  60.69 |   5147 |   8170 |  64.34 |    821 |   1272 | 
  729 |  12.21 |    319 |   2590 |  30.51 |    797 |   2522 |  22.24 |    139 |    624 |   0.01 |     22 |   0.03 |     90 |   0.00 |      1 |  86.94 |   2271 |   2590 |  66.04 |   1725 |   2522 |  77.60 |    485 |    624 | 
  730 |  38.46 |      5 |     13 |  53.85 |      7 |     11 |   0.00 |      0 |      0 |   0.00 |      0 |   0.15 |      2 |   0.00 |      0 |  61.54 |      8 |     13 |  30.77 |      4 |     11 |   0.00 |      0 |      0 | 
  731 |  24.66 |    882 |   3552 |  38.44 |   1375 |   3506 |  32.18 |    130 |    403 |   0.01 |     25 |   0.02 |     71 |   0.00 |      1 |  74.64 |   2670 |   3552 |  59.58 |   2131 |   3506 |  67.57 |    273 |    403 | 
  732 |  19.85 |   1488 |   7373 |  31.67 |   2374 |   7159 |  34.23 |    421 |   1226 |   0.02 |    123 |   0.04 |    337 |   0.00 |      4 |  78.51 |   5885 |   7373 |  63.83 |   4785 |   7159 |  65.45 |    805 |   1226 | 
  733 |  33.33 |      1 |      3 | 100.00 |      3 |      3 | 100.00 |      1 |      1 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  66.67 |      2 |      3 |   0.00 |      0 |      3 |   0.00 |      0 |      1 | 
  736 |  10.37 |    158 |   1492 |  23.43 |    357 |   1453 |  21.95 |     45 |    205 |   0.02 |     32 |   0.05 |     71 |   0.00 |      0 |  87.53 |   1334 |   1492 |  71.92 |   1096 |   1453 |  78.05 |    160 |    205 | 
  747 |  11.54 |      6 |     50 |   7.69 |      4 |     50 |  16.67 |      1 |      6 |   0.04 |      2 |   0.04 |      2 |   0.00 |      0 |  84.62 |     44 |     50 |  88.46 |     46 |     50 |  83.33 |      5 |      6 | 
  751 | 100.00 |      4 |      4 |  50.00 |      2 |      4 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |      4 |  50.00 |      2 |      4 |   0.00 |      0 |      0 | 
  753 |  39.39 |     13 |     31 |  33.33 |     11 |     28 |   0.00 |      0 |      1 |   0.06 |      2 |   0.15 |      5 |   0.00 |      0 |  54.55 |     18 |     31 |  51.52 |     17 |     28 | 100.00 |      1 |      1 | 
  754 |  21.35 |   1765 |   8115 |  41.90 |   3464 |   7838 |  40.09 |    257 |    634 |   0.02 |    153 |   0.05 |    430 |   0.01 |      7 |  76.80 |   6350 |   8115 |  52.90 |   4374 |   7838 |  58.81 |    377 |    634 | 
  755 |  13.42 |   1206 |   8853 |  18.77 |   1687 |   8606 |  13.70 |    155 |   1126 |   0.02 |    136 |   0.04 |    383 |   0.00 |      5 |  85.07 |   7647 |   8853 |  76.97 |   6919 |   8606 |  85.85 |    971 |   1126 | 
  756 |  33.33 |      2 |      6 |  33.33 |      2 |      6 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  66.67 |      4 |      6 |  66.67 |      4 |      6 |   0.00 |      0 |      0 | 
  761 |  23.69 |   1520 |   6288 |  33.69 |   2161 |   6053 |  26.30 |    228 |    867 |   0.02 |    127 |   0.06 |    362 |   0.00 |      0 |  74.33 |   4768 |   6288 |  60.67 |   3892 |   6053 |  73.70 |    639 |    867 | 
  763 |   0.00 |      0 |      7 |   0.00 |      0 |      2 |   0.00 |      0 |      1 |   0.22 |      2 |   0.78 |      7 |   0.00 |      0 |  77.78 |      7 |      7 |  22.22 |      2 |      2 | 100.00 |      1 |      1 | 
  804 |  20.79 |    317 |   1494 |  26.30 |    401 |   1426 |  25.00 |     59 |    234 |   0.02 |     31 |   0.06 |     99 |   0.01 |      2 |  77.18 |   1177 |   1494 |  67.21 |   1025 |   1426 |  74.15 |    175 |    234 | 
  811 |  66.67 |    222 |    325 |  45.95 |    153 |    294 |  68.97 |     20 |     28 |   0.02 |      8 |   0.12 |     39 |   0.03 |      1 |  30.93 |    103 |    325 |  42.34 |    141 |    294 |  27.59 |      8 |     28 | 
  812 |  16.71 |    597 |   3461 |  21.02 |    751 |   3291 |  21.77 |    128 |    585 |   0.03 |    111 |   0.08 |    281 |   0.01 |      3 |  80.18 |   2864 |   3461 |  71.11 |   2540 |   3291 |  77.72 |    457 |    585 | 
  813 |  80.00 |     16 |     20 |  55.00 |     11 |     20 |  75.00 |      9 |     12 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  20.00 |      4 |     20 |  45.00 |      9 |     20 |  25.00 |      3 |     12 | 
  814 |  46.13 |   2252 |   4774 |  44.57 |   2176 |   4599 |  61.09 |    529 |    856 |   0.02 |    108 |   0.06 |    283 |   0.01 |     10 |  51.66 |   2522 |   4774 |  49.63 |   2423 |   4599 |  37.76 |    327 |    856 | 
  816 |  32.90 |    706 |   2117 |  48.18 |   1034 |   2037 |  57.14 |    168 |    292 |   0.01 |     29 |   0.05 |    109 |   0.01 |      2 |  65.75 |   1411 |   2117 |  46.74 |   1003 |   2037 |  42.18 |    124 |    292 | 
  817 |  75.00 |    240 |    312 |  51.88 |    166 |    293 |  85.96 |     49 |     56 |   0.03 |      8 |   0.08 |     27 |   0.02 |      1 |  22.50 |     72 |    312 |  39.69 |    127 |    293 |  12.28 |      7 |     56 | 
  818 |  60.16 |    151 |    238 |  49.00 |    123 |    215 |  85.94 |     55 |     63 |   0.05 |     13 |   0.14 |     36 |   0.02 |      1 |  34.66 |     87 |    238 |  36.65 |     92 |    215 |  12.50 |      8 |     63 | 
  819 |  32.87 |   1921 |   5692 |  35.74 |   2089 |   5387 |  40.42 |    407 |    991 |   0.03 |    153 |   0.08 |    458 |   0.02 |     16 |  64.52 |   3771 |   5692 |  56.42 |   3298 |   5387 |  57.99 |    584 |    991 | 
  820 |   9.21 |    306 |   3218 |  10.11 |    336 |   3123 |  11.85 |     32 |    266 |   0.03 |    104 |   0.06 |    199 |   0.01 |      4 |  87.66 |   2912 |   3218 |  83.90 |   2787 |   3123 |  86.67 |    234 |    266 | 
  821 |  16.65 |    225 |   1321 |  19.62 |    265 |   1283 |  14.63 |     24 |    162 |   0.02 |     30 |   0.05 |     68 |   0.01 |      2 |  81.13 |   1096 |   1321 |  75.35 |   1018 |   1283 |  84.15 |    138 |    162 | 
  822 |  31.74 |   1328 |   4070 |  20.60 |    862 |   3914 |  30.32 |    104 |    336 |   0.03 |    114 |   0.06 |    270 |   0.02 |      7 |  65.54 |   2742 |   4070 |  72.94 |   3052 |   3914 |  67.64 |    232 |    336 | 
  823 |  22.15 |    901 |   3952 |  20.94 |    852 |   3829 |  17.32 |    111 |    639 |   0.03 |    116 |   0.06 |    239 |   0.00 |      2 |  75.00 |   3051 |   3952 |  73.18 |   2977 |   3829 |  82.37 |    528 |    639 | 
  824 |  69.68 |    108 |    152 |  37.42 |     58 |    144 |  82.05 |     32 |     39 |   0.02 |      3 |   0.07 |     11 |   0.00 |      0 |  28.39 |     44 |    152 |  55.48 |     86 |    144 |  17.95 |      7 |     39 | 
  828 |   9.28 |      9 |     97 |  14.43 |     14 |     92 |  12.50 |      1 |      8 |   0.00 |      0 |   0.05 |      5 |   0.00 |      0 |  90.72 |     88 |     97 |  80.41 |     78 |     92 |  87.50 |      7 |      8 | 
  849 |  76.19 |    144 |    186 |  56.61 |    107 |    178 |  92.98 |     53 |     57 |   0.02 |      3 |   0.06 |     11 |   0.00 |      0 |  22.22 |     42 |    186 |  37.57 |     71 |    178 |   7.02 |      4 |     57 | 
  853 |  30.45 |   1004 |   3260 |  40.76 |   1344 |   3187 |  36.24 |    191 |    523 |   0.01 |     37 |   0.03 |    110 |   0.01 |      4 |  68.43 |   2256 |   3260 |  55.90 |   1843 |   3187 |  63.00 |    332 |    523 | 
  857 |  25.31 |    564 |   2196 |  41.83 |    932 |   2147 |  43.77 |    116 |    265 |   0.01 |     32 |   0.04 |     81 |   0.00 |      0 |  73.25 |   1632 |   2196 |  54.53 |   1215 |   2147 |  56.23 |    149 |    265 | 
  864 |  73.22 |   4987 |   6736 |  59.08 |   4024 |   6543 |  76.58 |    971 |   1264 |   0.01 |     75 |   0.04 |    268 |   0.00 |      4 |  25.68 |   1749 |   6736 |  36.98 |   2519 |   6543 |  23.11 |    293 |   1264 | 
  871 |  41.47 |   1062 |   2549 |  42.87 |   1098 |   2525 |  51.78 |    218 |    419 |   0.00 |     12 |   0.01 |     36 |   0.00 |      2 |  58.06 |   1487 |   2549 |  55.72 |   1427 |   2525 |  47.74 |    201 |    419 | 
  900 |  68.09 |   2068 |   2993 |  56.87 |   1727 |   2858 |  74.63 |    509 |    679 |   0.01 |     44 |   0.06 |    179 |   0.00 |      3 |  30.46 |    925 |   2993 |  37.24 |   1131 |   2858 |  24.93 |    170 |    679 | 
  902 |  12.58 |     62 |    488 |  32.66 |    161 |    465 |  29.67 |     27 |     91 |   0.01 |      5 |   0.06 |     28 |   0.00 |      0 |  86.41 |    426 |    488 |  61.66 |    304 |    465 |  70.33 |     64 |     91 | 
  903 |   4.35 |      2 |     46 |   8.70 |      4 |     46 |   0.00 |      0 |     14 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  95.65 |     44 |     46 |  91.30 |     42 |     46 | 100.00 |     14 |     14 | 
  904 |  10.92 |     19 |    171 |  20.11 |     35 |    154 |  20.00 |      7 |     35 |   0.02 |      3 |   0.11 |     20 |   0.00 |      0 |  87.36 |    152 |    171 |  68.39 |    119 |    154 |  80.00 |     28 |     35 | 
  905 |  16.99 |    567 |   3237 |  22.83 |    762 |   3097 |  19.72 |    125 |    632 |   0.03 |    101 |   0.07 |    241 |   0.00 |      2 |  79.99 |   2670 |   3237 |  69.95 |   2335 |   3097 |  79.97 |    507 |    632 | 
  906 |  34.29 |     12 |     35 |  40.00 |     14 |     33 |   0.00 |      0 |      2 |   0.00 |      0 |   0.06 |      2 |   0.00 |      0 |  65.71 |     23 |     35 |  54.29 |     19 |     33 | 100.00 |      2 |      2 | 
  907 |  53.63 |    155 |    284 |  40.14 |    116 |    259 |  53.98 |     61 |    108 |   0.02 |      5 |   0.10 |     30 |   0.04 |      5 |  44.64 |    129 |    284 |  49.48 |    143 |    259 |  41.59 |     47 |    108 | 
  908 |  73.05 |   1190 |   1607 |  51.14 |    833 |   1523 |  75.82 |    417 |    542 |   0.01 |     22 |   0.07 |    106 |   0.01 |      8 |  25.60 |    417 |   1607 |  42.36 |    690 |   1523 |  22.73 |    125 |    542 | 
  909 |  61.70 |     29 |     47 |  53.19 |     25 |     42 |  95.24 |     20 |     21 |   0.00 |      0 |   0.11 |      5 |   0.00 |      0 |  38.30 |     18 |     47 |  36.17 |     17 |     42 |   4.76 |      1 |     21 | 
  910 |  55.91 |     52 |     84 |  41.94 |     39 |     70 |  74.19 |     23 |     27 |   0.10 |      9 |   0.25 |     23 |   0.13 |      4 |  34.41 |     32 |     84 |  33.33 |     31 |     70 |  12.90 |      4 |     27 | 
  911 |  48.70 |     94 |    187 |  47.15 |     91 |    180 |  60.38 |     32 |     53 |   0.03 |      6 |   0.07 |     13 |   0.00 |      0 |  48.19 |     93 |    187 |  46.11 |     89 |    180 |  39.62 |     21 |     53 | 
  912 |  69.01 |     49 |     71 |  43.66 |     31 |     70 |  88.89 |     16 |     18 |   0.00 |      0 |   0.01 |      1 |   0.00 |      0 |  30.99 |     22 |     71 |  54.93 |     39 |     70 |  11.11 |      2 |     18 | 
  913 |  74.00 |    111 |    146 |  65.33 |     98 |    147 |  80.77 |     21 |     26 |   0.03 |      4 |   0.02 |      3 |   0.00 |      0 |  23.33 |     35 |    146 |  32.67 |     49 |    147 |  19.23 |      5 |     26 | 
  914 |  58.32 |    333 |    548 |  40.63 |    232 |    516 |  69.65 |    140 |    196 |   0.04 |     23 |   0.10 |     55 |   0.02 |      5 |  37.65 |    215 |    548 |  49.74 |    284 |    516 |  27.86 |     56 |    196 | 
  915 |  23.95 |    580 |   2386 |  41.99 |   1017 |   2266 |  37.90 |    191 |    499 |   0.01 |     36 |   0.06 |    156 |   0.01 |      5 |  74.57 |   1806 |   2386 |  51.57 |   1249 |   2266 |  61.11 |    308 |    499 | 
  917 |  67.77 |    532 |    776 |  58.47 |    459 |    758 |  71.07 |     86 |    121 |   0.01 |      9 |   0.03 |     27 |   0.00 |      0 |  31.08 |    244 |    776 |  38.09 |    299 |    758 |  28.93 |     35 |    121 | 
  918 |  27.82 |    735 |   2595 |  41.48 |   1096 |   2505 |  41.48 |    224 |    539 |   0.02 |     47 |   0.05 |    137 |   0.00 |      1 |  70.40 |   1860 |   2595 |  53.33 |   1409 |   2505 |  58.33 |    315 |    539 | 
  919 |  15.13 |     18 |    119 |  12.61 |     15 |    116 |  17.86 |      5 |     28 |   0.00 |      0 |   0.03 |      3 |   0.00 |      0 |  84.87 |    101 |    119 |  84.87 |    101 |    116 |  82.14 |     23 |     28 | 
  920 |   0.00 |      0 |      0 |   0.00 |      0 |      0 |   0.00 |      0 |      1 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |      0 |   0.00 |      0 |      0 | 100.00 |      1 |      1 | 
  921 |  34.96 |    294 |    818 |  39.48 |    332 |    773 |  54.40 |     68 |    123 |   0.03 |     23 |   0.08 |     68 |   0.02 |      2 |  62.31 |    524 |    818 |  52.44 |    441 |    773 |  44.00 |     55 |    123 | 
  922 |  53.97 |    503 |    899 |  46.57 |    434 |    845 |  58.26 |     67 |    115 |   0.04 |     33 |   0.09 |     87 |   0.00 |      0 |  42.49 |    396 |    899 |  44.10 |    411 |    845 |  41.74 |     48 |    115 | 
  924 |  65.93 |    741 |   1116 |  62.90 |    707 |   1076 |  73.10 |    144 |    195 |   0.01 |      8 |   0.04 |     48 |   0.01 |      2 |  33.36 |    375 |   1116 |  32.83 |    369 |   1076 |  25.89 |     51 |    195 | 
  925 |  56.96 |    270 |    455 |  40.93 |    194 |    400 |  75.42 |    178 |    231 |   0.04 |     19 |   0.16 |     74 |   0.02 |      5 |  39.03 |    185 |    455 |  43.46 |    206 |    400 |  22.46 |     53 |    231 | 
  926 |  43.82 |    110 |    247 |  51.00 |    128 |    228 |  56.96 |     90 |    158 |   0.02 |      4 |   0.09 |     23 |   0.00 |      0 |  54.58 |    137 |    247 |  39.84 |    100 |    228 |  43.04 |     68 |    158 | 
  927 |  61.02 |    108 |    174 |  54.80 |     97 |    162 |  66.67 |     48 |     72 |   0.02 |      3 |   0.08 |     15 |   0.00 |      0 |  37.29 |     66 |    174 |  36.72 |     65 |    162 |  33.33 |     24 |     72 | 
  929 |  55.56 |     25 |     41 |  44.44 |     20 |     40 |  63.64 |      7 |     11 |   0.09 |      4 |   0.11 |      5 |   0.00 |      0 |  35.56 |     16 |     41 |  44.44 |     20 |     40 |  36.36 |      4 |     11 | 
  932 |   0.00 |      0 |      3 |  75.00 |      3 |      3 |   0.00 |      0 |      0 |   0.25 |      1 |   0.25 |      1 |   0.00 |      0 |  75.00 |      3 |      3 |   0.00 |      0 |      3 |   0.00 |      0 |      0 | 
  936 |   0.00 |      0 |      4 | 100.00 |      4 |      4 |   0.00 |      0 |      0 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 | 100.00 |      4 |      4 |   0.00 |      0 |      4 |   0.00 |      0 |      0 | 
  938 |  91.67 |     11 |     12 |  50.00 |      6 |     10 |  80.00 |      4 |      5 |   0.00 |      0 |   0.17 |      2 |   0.00 |      0 |   8.33 |      1 |     12 |  33.33 |      4 |     10 |  20.00 |      1 |      5 | 
  940 |  41.67 |      5 |     10 |  58.33 |      7 |     12 |   0.00 |      0 |      2 |   0.17 |      2 |   0.00 |      0 |   0.00 |      0 |  41.67 |      5 |     10 |  41.67 |      5 |     12 | 100.00 |      2 |      2 | 
  945 |  13.60 |     93 |    671 |  26.02 |    178 |    662 |  17.43 |     38 |    217 |   0.02 |     13 |   0.03 |     22 |   0.00 |      1 |  84.50 |    578 |    671 |  70.76 |    484 |    662 |  82.11 |    179 |    217 | 
  953 |  44.44 |      8 |     18 |  66.67 |     12 |     18 |  50.00 |      2 |      4 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  55.56 |     10 |     18 |  33.33 |      6 |     18 |  50.00 |      2 |      4 | 
  954 |  53.12 |     85 |    145 |  48.75 |     78 |    134 |  78.26 |     72 |     86 |   0.09 |     15 |   0.16 |     26 |   0.07 |      6 |  37.50 |     60 |    145 |  35.00 |     56 |    134 |  15.22 |     14 |     86 | 
  955 |  51.61 |     32 |     57 |  43.55 |     27 |     52 |  84.85 |     28 |     32 |   0.08 |      5 |   0.16 |     10 |   0.03 |      1 |  40.32 |     25 |     57 |  40.32 |     25 |     52 |  12.12 |      4 |     32 | 
  956 |  47.62 |     40 |     74 |  50.00 |     42 |     60 |  75.61 |     31 |     36 |   0.12 |     10 |   0.29 |     24 |   0.12 |      5 |  40.48 |     34 |     74 |  21.43 |     18 |     60 |  12.20 |      5 |     36 | 
  957 |  43.84 |     64 |    145 |  52.05 |     76 |    140 |  54.55 |     18 |     33 |   0.01 |      1 |   0.04 |      6 |   0.00 |      0 |  55.48 |     81 |    145 |  43.84 |     64 |    140 |  45.45 |     15 |     33 | 
  958 |  75.00 |      3 |      4 |  75.00 |      3 |      4 | 100.00 |      1 |      1 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 |  25.00 |      1 |      4 |  25.00 |      1 |      4 |   0.00 |      0 |      1 | 
 2379 |  61.18 |    238 |    381 |  52.70 |    205 |    363 |  72.22 |     39 |     53 |   0.02 |      8 |   0.07 |     26 |   0.02 |      1 |  36.76 |    143 |    381 |  40.62 |    158 |    363 |  25.93 |     14 |     53 | 
 4341 |   0.00 |      0 |      2 |   0.00 |      0 |      2 |   0.00 |      0 |      1 |   0.00 |      0 |   0.00 |      0 |   0.00 |      0 | 100.00 |      2 |      2 | 100.00 |      2 |      2 | 100.00 |      1 |      1 | 
